State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Assam,Morigaon,232206.0,145128.75,34366.488000000005,132821.83200000002,25275.0,10817.7,2325.2999999999997,22823.325
Assam,Nagaon,674999.0,400274.40699999995,93149.86200000001,485999.28,124186.0,54269.282,7326.974,118225.07200000001
Assam,Sonitpur,483325.0,280811.825,49299.15,265828.75,64528.0,20778.016,2903.76,61301.6
Assam,Lakhimpur,293239.0,190018.872,28444.182999999997,157469.343,34694.0,13079.638,1908.17,32855.218
Assam,Dhemaji,211758.0,140183.796,21175.8,85338.47399999999,16504.0,7971.432,1188.288,15777.823999999999
Assam,Tinsukia,290704.0,162794.24,14535.2,224714.19199999998,90910.0,33727.61,4545.5,85909.95
Assam,Dibrugarh,299852.0,162519.784,17091.564000000002,222490.184,77163.0,22917.411,3163.683,74385.132
Assam,Sivasagar,360182.0,217189.74599999998,21971.102,258970.858,45047.0,16397.108,1756.8329999999999,41983.804000000004
Assam,Jorhat,286330.0,174374.97,23192.73,168648.37,80824.0,28530.871999999996,3232.96,76136.208
Assam,Golaghat,292893.0,187451.52,23138.547000000002,190673.34299999996,34190.0,13231.53,1435.98,33403.63
Assam,Karbi Anglong,215691.0,140414.841,9274.713,104610.135,37185.0,19336.2,1338.66,35139.825
Assam,Dima Hasao,37610.0,23468.64,1692.45,21475.31,21309.0,9631.668,703.197,20584.494
Assam,Cachar,346227.0,197003.163,42239.693999999996,268672.152,88933.0,33083.076,5424.913,85197.814
Assam,Karimganj,261945.0,150880.32,39029.805,219247.965,32695.0,11802.895,2844.465,31844.93
Assam,Hailakandi,159215.0,94732.925,26748.12,130397.085,16202.0,4941.61,1231.3519999999999,15894.162
Assam,Bongaigaon,181923.0,116976.489,22740.375,89506.116,38470.0,11156.3,1654.21,35238.52
Assam,Chirang,129018.0,74185.35,14062.962,30964.32,11613.0,4587.135,1718.724,9859.437
Assam,Kamrup,390596.0,230842.236,48043.308,222639.72,43849.0,19775.899,3727.165,34509.163
Assam,Kamrup Metropolitan,61334.0,32139.016,6194.734,39683.098000000005,366858.0,100152.234,14307.462,355852.26
Assam,Nalbari,210706.0,128530.66,20017.07,134219.722,28238.0,12227.053999999998,2400.23,25442.438
Assam,Baksa,291641.0,187525.163,32663.791999999998,112865.06700000001,3580.0,1904.56,268.5,3368.78
Assam,Darrang,268517.0,154665.79200000002,47796.026000000005,127814.092,20189.0,6945.016,1736.254,18533.502
Assam,Udalguri,267790.0,160406.21,28653.53,111132.85,13835.0,4883.754999999999,996.12,12423.83
West Bengal,Darjiling,303284.0,164379.928,24262.72,158617.532,215675.0,68368.975,11430.775,187637.25
West Bengal,Jalpaiguri,798378.0,461462.484,127740.48,296198.238,319426.0,118826.47200000001,33539.73,262887.598
West Bengal,Koch Bihar,803407.0,463565.83900000004,101229.28199999999,447497.6990000001,97331.0,32995.209,7689.149,87889.89299999998
West Bengal,Uttar Dinajpur,683981.0,396024.999,84813.644,140900.086,94269.0,37707.6,13763.274,75980.814
West Bengal,Dakshin Dinajpur,390949.0,225186.624,46522.931000000004,107510.975,70077.0,24036.410999999996,6517.161000000001,64190.53199999999
West Bengal,Maldah,830318.0,489887.62,93825.93400000001,210900.772,128678.0,62408.83,10680.274000000001,95607.754
West Bengal,Murshidabad,1501066.0,842098.0260000001,255181.22,520869.902,350899.0,170186.015,40704.284,216855.582
West Bengal,Birbhum,831044.0,432142.88,129642.864,155405.228,134565.0,50192.745,12514.545,82892.04
West Bengal,Barddhaman,1364868.0,707001.624,128297.592,629204.148,862368.0,329424.576,54329.183999999994,616593.12
West Bengal,Nadia,1081381.0,582864.3589999999,168695.436,771024.6529999999,468390.0,192976.68,49649.34,437007.87
West Bengal,North Twenty Four Parganas,1209337.0,559923.031,238239.389,954166.8930000002,1649803.0,551034.2019999999,89089.36200000001,1550814.82
West Bengal,Hugli,992085.0,451398.675,116073.945,596243.085,647953.0,218360.16100000002,34341.509,575382.264
West Bengal,Bankura,900515.0,471869.86,105360.255,148584.975,90885.0,35263.38,8088.765,54894.54
West Bengal,Puruliya,653219.0,409568.313,48338.206000000006,39846.359,99433.0,43253.355,6662.0109999999995,50611.397000000004
West Bengal,Haora,483384.0,195287.13599999997,67190.376,290997.168,869313.0,305998.17600000004,56505.345,725876.355
West Bengal,South Twenty Four Parganas,1568802.0,782832.198,254145.924,862841.1,611430.0,235400.55,49525.83,508098.33
West Bengal,Paschim Medinipur,1364335.0,712182.87,180092.22,571656.365,201048.0,65943.74399999999,16686.984,155209.056
West Bengal,Purba Medinipur,1193006.0,584572.94,215934.086,1021213.1359999999,170707.0,59406.03599999999,17241.407,141345.396
Jharkhand,Garhwa,272872.0,170272.128,12552.112,13370.728000000001,19180.0,8535.1,1304.24,8880.34
Jharkhand,Chatra,200974.0,115560.05,9043.83,13264.284,14528.0,6740.991999999999,595.6479999999999,9544.896
Jharkhand,Kodarma,116714.0,61041.42199999999,4901.988,8870.264,34771.0,15542.637000000002,1877.6340000000002,17489.813
Jharkhand,Giridih,452564.0,242574.30400000003,14029.484000000002,26248.711999999996,46886.0,17347.82,1594.124,28741.118
Jharkhand,Deoghar,257373.0,155968.038,13126.022999999997,14155.515,64337.0,24062.037999999997,2702.1540000000005,43942.170999999995
Jharkhand,Godda,276454.0,173336.658,25433.767999999996,21839.866,15576.0,5731.967999999999,654.192,10108.824
Jharkhand,Sahibganj,223450.0,145465.94999999998,16311.85,20557.399999999998,37543.0,17457.495,2928.354,20385.849
Jharkhand,Pakur,200588.0,120152.212,14241.747999999998,14642.923999999999,16587.0,7746.129,945.4590000000001,7712.955
Jharkhand,Dhanbad,258764.0,135074.80800000002,12161.908000000001,31569.208,405455.0,180427.475,15812.745,240434.815
Jharkhand,Bokaro,250312.0,125906.936,10262.792,16520.592,258452.0,94851.884,8270.464,162049.404
Jharkhand,Lohardaga,96759.0,60474.375,2709.252,7063.406999999999,14725.0,5330.45,647.9000000000001,10381.125
Jharkhand,Purbi Singhbhum,262537.0,133893.87,15227.145999999999,35705.032,342126.0,88268.508,7868.897999999999,276095.682
Jharkhand,Palamu,355529.0,223272.212,22398.326999999997,26309.146,52375.0,21002.375,2828.25,30534.625
Jharkhand,Latehar,146377.0,84898.66,3220.2940000000003,10539.144000000002,14137.0,5739.622,706.85,7888.446
Jharkhand,Hazaribagh,312983.0,151796.755,10328.438999999998,29107.419000000005,68765.0,22761.215,2062.95,50542.275
Jharkhand,Ramgarh,134067.0,67167.567,5094.545999999999,14747.37,118558.0,47186.083999999995,4268.088,71134.8
Jharkhand,Dumka,303697.0,194062.383,18221.82,18829.214,23281.0,7799.135,1164.05,14946.402
Jharkhand,Jamtara,165555.0,103637.43,8112.1950000000015,7284.420000000001,20113.0,6737.855,663.7289999999999,12087.913
Jharkhand,Ranchi,420740.0,231407.0,12622.2,55537.68,310242.0,98656.95599999999,12719.921999999999,245401.422
Jharkhand,Khunti,,,,,,,,
Jharkhand,Gumla,216629.0,137126.157,6282.241,13864.256000000001,16445.0,6314.88,822.25,11264.825
Jharkhand,Simdega,144169.0,85924.724,4180.901,7064.281000000001,11114.0,4445.6,444.56,5934.876
Jharkhand,Pashchimi Singhbhum,336928.0,171496.35199999998,13477.12,12466.336000000001,63396.0,23773.5,2852.82,37340.244
Jharkhand,Saraikela-Kharsawan,217248.0,116227.68,7820.928000000001,13903.872000000001,68439.0,25048.674,2326.926,44143.155
Orissa,Bargarh,411566.0,275337.65400000004,34983.11,50622.61800000001,47395.0,22133.465,2227.565,25688.09
Orissa,Jharsuguda,103224.0,73805.16,6090.216000000001,9703.056,73962.0,33652.71,4141.871999999999,39643.632000000005
Orissa,Sambalpur,220697.0,153825.809,17214.365999999998,18979.942,94798.0,39056.776,4929.496,56404.81
Orissa,Debagarh,91408.0,68556.0,12248.671999999999,5393.072000000001,7350.0,4579.05,404.25,3770.55
Orissa,Sundargarh,387911.0,294424.449,22498.838,32584.523999999998,230151.0,107940.819,10126.644000000002,150748.905
Orissa,Kendujhar,490634.0,343443.8,42194.524,45628.962,83664.0,40828.032,6442.128000000001,42501.312000000005
Orissa,Mayurbhanj,689110.0,499604.75,59263.46,103366.5,64479.0,28241.801999999996,5222.799,41266.56
Orissa,Baleshwar,601154.0,373316.63399999996,69733.864,136461.95799999998,82440.0,34789.68000000001,5935.68,56059.2
Orissa,Bhadrak,373862.0,240393.26599999997,33273.718,59817.92,54244.0,28586.588000000003,4014.0560000000005,28098.391999999996
Orissa,Kendrapara,414749.0,236406.93,31106.175,65530.342000000004,23494.0,10478.324,2067.472,13579.532
Orissa,Jagatsinghapur,309685.0,177449.505,21987.635,68440.385,43047.0,24622.884,1592.739,19285.055999999997
Orissa,Cuttack,579529.0,318740.95,58532.429,129814.496,210768.0,77141.088,13489.152000000002,164399.04
Orissa,Jajapur,495611.0,286463.158,72359.20599999999,98626.58899999998,45528.0,19531.512,3186.96,27863.136000000002
Orissa,Dhenkanal,315390.0,206580.45,36269.85,44785.38,36979.0,15457.222,2810.4039999999995,22113.441999999995
Orissa,Anugul,340410.0,219224.04000000004,40849.2,56848.47,74177.0,28780.675999999996,4895.682,47473.28
Orissa,Nayagarh,261646.0,168238.378,31920.811999999998,41601.714,26688.0,12943.68,2028.2879999999998,14891.903999999999
Orissa,Khordha,331834.0,207064.41599999997,28205.89,60725.622,356895.0,130623.57,18201.644999999997,273381.56999999995
Orissa,Puri,402014.0,257690.974,45025.568,62714.183999999994,72210.0,33505.44,4188.18,52929.93
Orissa,Ganjam,795476.0,490013.216,75570.22,151935.91600000003,219918.0,87747.28199999999,11435.736,143606.454
Orissa,Gajapati,152095.0,101903.65,8973.605,19316.065,23050.0,9381.35,1152.5,13069.35
Orissa,Kandhamal,218446.0,150290.848,14417.435999999998,13762.098,24489.0,11387.385,1567.296,13836.285
Orissa,Baudh,131377.0,98664.127,6174.719,11823.93,6577.0,3689.697,355.158,3374.0009999999997
Orissa,Subarnapur,176927.0,130925.98,12738.744,13977.233,16575.0,10177.05,961.35,6464.25
Orissa,Balangir,476770.0,327064.22,33373.9,48153.77,62192.0,29168.048,4229.056,36133.552
Orissa,Nuapada,197258.0,143801.08200000002,9468.383999999998,25051.765999999996,11869.0,6254.963000000001,771.485,5744.596
Orissa,Kalahandi,456336.0,320804.208,42895.584,37419.551999999996,38412.0,18360.935999999998,2650.428,22586.256
Orissa,Rayagada,237343.0,165428.07100000003,13528.551000000001,15664.637999999999,49205.0,17615.39,2115.815,29769.025
Orissa,Nabarangapur,342840.0,237588.12,15084.960000000003,19884.72,29424.0,15123.935999999998,1441.776,15712.416
Orissa,Koraput,381789.0,250835.37300000002,20234.817,31306.697999999997,78339.0,30473.871,4386.9839999999995,50842.011000000006
Orissa,Malkangiri,167884.0,112985.93199999999,12423.416000000001,10073.04,15839.0,7238.423000000001,1330.476,7555.203
Chhattisgarh,Koriya,121852.0,61535.26,2680.744,10357.42,59763.0,22411.125,776.9190000000001,35439.459
Chhattisgarh,Surguja,,,,,65167.0,19159.097999999998,1042.672,39947.371
Chhattisgarh,Jashpur,,,,,20722.0,7832.916,248.664,8744.684000000001
Chhattisgarh,Raigarh,354278.0,203355.572,17005.343999999997,46056.14,66638.0,25189.164,1999.14,38183.574
Chhattisgarh,Korba,206598.0,112389.31199999999,6611.136000000001,24585.162,126055.0,37438.335,2016.88,73868.23
Chhattisgarh,Janjgir - Champa,379583.0,223953.97,21256.647999999997,41754.13,61190.0,26801.22,2325.22,27168.36
Chhattisgarh,Bilaspur,549632.0,324832.512,28580.863999999998,91238.91200000001,188174.0,67930.814,5833.394,123630.31800000001
Chhattisgarh,Kabeerdham,187311.0,114072.399,11613.282,16857.99,23868.0,8759.556,1217.2679999999998,11814.66
Chhattisgarh,Rajnandgaon,313604.0,149589.108,10662.535999999998,58016.74,76528.0,25101.183999999997,1913.2,40712.896
Chhattisgarh,Durg,533448.0,279526.752,26672.4,74682.72,349741.0,103523.336,7694.302000000001,218937.866
Chhattisgarh,Raipur,673499.0,383894.43,39736.441,86881.371,395001.0,118895.30100000002,11455.028999999999,256750.65
Chhattisgarh,Mahasamund,274793.0,164875.8,12640.477999999997,41768.53599999999,35774.0,14738.888,1466.734,17922.774
Chhattisgarh,Dhamtari,168689.0,92947.63900000001,7084.938,40822.738,41792.0,16382.464000000002,1462.72,22400.512000000002
Chhattisgarh,Uttar Bastar Kanker,169191.0,78673.815,5075.73,25040.268000000004,24878.0,9403.883999999998,796.096,15150.702
Chhattisgarh,Bastar,316425.0,165173.85,10758.45,43983.075,54894.0,19432.476,1591.9260000000002,33485.34
Chhattisgarh,Narayanpur,26916.0,15503.616000000002,1184.304,1103.5559999999998,6179.0,3416.9869999999996,135.93800000000002,2731.1180000000004
Chhattisgarh,Dakshin Bastar Dantewada,106545.0,53379.045,3409.44,7671.24,31304.0,11050.312,907.8159999999999,15589.392
Chhattisgarh,Bijapur,50449.0,28503.685,2118.858,1362.1230000000003,7942.0,4860.504,246.202,2231.702
Madhya Pradesh,Sheopur,150146.0,90688.18400000001,7957.737999999999,8708.467999999999,26376.0,10708.656,844.0320000000002,15087.072000000002
Madhya Pradesh,Morena,319298.0,170824.43,16603.496,21392.966,95288.0,34017.816,2001.0480000000002,70322.544
Madhya Pradesh,Bhind,271211.0,139944.876,12475.705999999998,25222.623000000003,88385.0,35972.69500000001,2209.625,59483.105
Madhya Pradesh,Gwalior,172720.0,83078.32,7772.4,29880.56,272172.0,73214.268,5443.44,236789.64
Madhya Pradesh,Datia,160453.0,74931.551,4332.231000000001,18131.189000000002,43401.0,15103.547999999999,1302.03,27386.031000000003
Madhya Pradesh,Shivpuri,367859.0,199747.437,15450.078000000001,20600.104,66759.0,21029.085,1869.2519999999997,43860.663
Madhya Pradesh,Tikamgarh,322772.0,144279.084,9360.387999999999,12588.108,60220.0,19812.38,1625.94,27219.44
Madhya Pradesh,Chhatarpur,375869.0,169892.788,9772.594000000001,19545.188000000002,95048.0,27658.968000000004,1520.7680000000003,55032.792
Madhya Pradesh,Panna,256744.0,121953.4,7702.32,12837.2,32179.0,11584.44,740.117,17312.302
Madhya Pradesh,Sagar,448408.0,231378.52800000002,21075.176,50221.695999999996,165507.0,53127.747,4137.675,107083.02900000001
Madhya Pradesh,Damoh,303387.0,164132.367,15169.35,17899.833,66514.0,22681.273999999998,1928.906,37380.868
Madhya Pradesh,Satna,461831.0,181037.75200000004,10160.282000000001,105297.46800000001,114173.0,26716.481999999996,2625.979,69074.665
Madhya Pradesh,Rewa,523910.0,181796.77,11002.11,93255.98,94489.0,20598.602,2267.736,56220.955
Madhya Pradesh,Umaria,138100.0,65183.2,5800.2,8009.8,29966.0,8480.378,629.2860000000001,16541.232000000004
Madhya Pradesh,Neemuch,174235.0,80670.805,4878.579999999999,22999.02,67962.0,18757.512000000002,951.4679999999998,43223.832
Madhya Pradesh,Mandsaur,302287.0,150236.639,6952.601,40204.171,81832.0,24140.44,1391.144,55809.424000000006
Madhya Pradesh,Ratlam,266716.0,153895.132,9335.06,35739.943999999996,107151.0,29466.525,1500.114,88721.02799999999
Madhya Pradesh,Ujjain,300765.0,165119.985,11429.07,53836.935,188684.0,56793.884000000005,3584.9959999999996,157739.824
Madhya Pradesh,Shajapur,312611.0,177250.437,13754.884000000002,41889.873999999996,73997.0,23753.037,1775.9279999999999,49355.999
Madhya Pradesh,Dewas,274995.0,134747.55,17049.69,59673.915,101014.0,30809.27,2626.364,78083.82199999999
Madhya Pradesh,Dhar,412348.0,232976.62,19380.356,79170.81599999999,103364.0,31732.748,3100.92,78970.096
Madhya Pradesh,Indore,200371.0,82953.594,9217.065999999999,83153.965,587947.0,136991.65099999998,15874.569000000001,530916.1410000001
Madhya Pradesh,Khargone (West Nimar),383543.0,218235.967,24163.209,49860.59,76620.0,22602.9,2451.84,56545.56
Madhya Pradesh,Barwani,250358.0,150715.516,13018.616000000002,25786.874000000003,48912.0,18293.088,2005.3919999999998,32330.832
Madhya Pradesh,Rajgarh,331894.0,200463.97599999997,21573.11,25887.731999999996,69823.0,24926.811,2234.3360000000002,42592.03
Madhya Pradesh,Vidisha,292579.0,132245.708,8777.37,33646.585,83830.0,25651.98,1760.43,59938.45
Madhya Pradesh,Bhopal,118893.0,55404.138,5112.398999999999,25561.995,581826.0,175129.62600000002,15127.476,488152.0140000001
Madhya Pradesh,Sehore,270427.0,117906.172,17848.182,58682.65899999999,59220.0,18535.86,1480.5,46843.02
Madhya Pradesh,Raisen,251272.0,116590.20799999998,18091.584000000003,46485.32,74441.0,27096.523999999998,2977.64,53597.52
Madhya Pradesh,Betul,318945.0,145438.92,15309.36,41143.905,87704.0,26574.312,2631.12,62796.06399999999
Madhya Pradesh,Harda,112714.0,47565.308000000005,8678.978000000001,43169.46199999999,31845.0,8438.925,1401.18,25253.085
Madhya Pradesh,Hoshangabad,209650.0,92036.35,21384.3,70861.7,105746.0,30349.102,3595.3639999999996,85231.276
Madhya Pradesh,Katni,276151.0,128410.215,12150.644000000002,23748.986,72880.0,20843.68,1749.12,47955.04
Madhya Pradesh,Jabalpur,272284.0,125795.20800000001,15520.188,72972.11200000001,352477.0,103628.23799999998,10221.832999999999,282686.554
Madhya Pradesh,Narsimhapur,230659.0,112792.25099999999,22604.582000000002,63431.225,53059.0,17880.883,3130.481,38096.361999999994
Madhya Pradesh,Dindori,218021.0,111626.75200000001,5886.567000000001,8066.777000000001,9774.0,3684.7980000000007,537.57,5405.022
Madhya Pradesh,Mandla,279674.0,120819.168,12025.982,18738.158,37258.0,10655.788,1490.32,24254.958
Madhya Pradesh,Chhindwara,413142.0,207810.42599999998,21070.242,50816.46600000001,140802.0,47168.67,5209.674,93351.726
Madhya Pradesh,Seoni,335045.0,151105.295,16417.205,50926.84,47542.0,13169.133999999998,1663.97,35133.538
Madhya Pradesh,Balaghat,400074.0,153228.342,21603.996,46808.657999999996,70793.0,20813.142,2406.962,44670.383
Madhya Pradesh,Guna,212765.0,104680.38,6170.185,15744.61,72320.0,24299.52,2386.56,43102.72
Madhya Pradesh,Ashoknagar,169606.0,74626.64,4579.362,11872.42,37135.0,14037.03,631.295,20907.005
Madhya Pradesh,Shahdol,233594.0,103248.54800000001,6774.226,17753.144,57846.0,16891.032,1561.842,36847.902
Madhya Pradesh,Anuppur,,,,,,,,
Madhya Pradesh,Sidhi,250953.0,95864.04600000002,4768.107,10289.072999999999,25916.0,6945.488,388.74,12698.84
Madhya Pradesh,Singrauli,228732.0,101557.00799999999,4345.907999999999,5032.104,58593.0,15878.703000000001,1523.4180000000001,30526.953
Madhya Pradesh,Jhabua,211080.0,132136.08,10765.08,12242.64,24713.0,6301.815,444.834,18979.584
Madhya Pradesh,Alirajpur,135866.0,84372.786,5434.64,6793.3,14662.0,4369.276000000001,381.21200000000005,11040.485999999999
Madhya Pradesh,Khandwa (East Nimar),265663.0,139207.41199999998,21253.04,46225.361999999994,63425.0,19725.175,2790.7,43953.525
Madhya Pradesh,Burhanpur,115979.0,56133.835999999996,7422.656000000001,21456.115,62861.0,26213.037,2451.5789999999997,43122.64599999999
Gujarat,Kachchh,488293.0,124026.42199999999,5371.223000000001,240240.15600000002,250982.0,53710.148,2509.82,220613.178
Gujarat,Banas Kantha,666773.0,258707.924,26670.92,114018.183,137424.0,32706.912,2061.36,107190.72
Gujarat,Patan,301483.0,112453.15899999999,11456.354,108232.397,102655.0,26177.025,1539.825,84587.72
Gujarat,Mahesana,476005.0,156129.63999999998,12376.13,211346.22,183738.0,40054.884,2388.594,156177.3
Gujarat,Sabar Kantha,544024.0,223593.86400000003,11424.504,169191.46400000004,121509.0,32928.939000000006,1944.1440000000002,93197.403
Gujarat,Gandhinagar,237624.0,86970.384,5465.352,101703.07199999999,195634.0,47734.695999999996,2543.242,158072.272
Gujarat,Ahmadabad,353169.0,143033.445,7063.38,116192.601,1845383.0,441046.53699999995,11072.298,1699597.7429999998
Gujarat,Surendranagar,340788.0,124046.832,7838.123999999999,70883.90400000001,159810.0,38034.78,2237.34,111867.0
Gujarat,Rajkot,459474.0,130490.616,6892.11,202168.56,721532.0,158015.508,7936.852000000001,624125.18
Gujarat,Jamnagar,347158.0,104494.558,5554.528,120810.98399999998,299167.0,68808.41,2991.67,250701.94599999997
Gujarat,Porbandar,96015.0,29188.56,2208.345,37541.865,87557.0,21539.022,1138.241,67769.118
Gujarat,Junagadh,489237.0,159980.499,8317.029,225049.02,287506.0,68713.934,4025.084,246392.642
Gujarat,Amreli,313714.0,90663.34599999999,5333.137999999999,163444.994,116899.0,28874.053,1168.99,91648.81600000002
Gujarat,Bhavnagar,387251.0,128567.33200000001,5808.765,124307.571,356826.0,91704.28199999999,3925.0860000000002,291170.016
Gujarat,Anand,413078.0,170601.21399999998,8674.638,170601.21399999998,208909.0,54525.249,2715.817,173394.47
Gujarat,Kheda,461479.0,194744.138,11536.975,117215.666,160547.0,40136.75,2408.205,126029.395
Gujarat,Panch Mahals,463363.0,233534.952,12047.438,78771.71,104238.0,25434.071999999996,1146.618,87664.158
Gujarat,Dohad,323697.0,192599.715,6797.637000000001,19745.517,52807.0,12462.452000000001,580.8770000000001,37915.426
Gujarat,Vadodara,547454.0,251828.84,10949.08,156024.39,692971.0,137901.229,5543.768,636840.349
Gujarat,Narmada,138121.0,60635.11899999999,1795.573,22099.36,22248.0,7497.576000000001,422.712,16619.256
Gujarat,Bharuch,300677.0,114858.614,4510.155,137710.066,181319.0,36626.437999999995,1087.914,162099.18600000002
Gujarat,The Dangs,52102.0,18913.025999999998,573.1220000000001,13181.806,7516.0,2014.2880000000002,52.611999999999995,4344.248
Gujarat,Navsari,267739.0,92369.955,3748.3459999999995,119143.855,141417.0,28283.4,1272.753,121194.369
Gujarat,Valsad,262410.0,104176.77,3411.33,72425.16,235981.0,58051.32600000001,2123.8289999999997,179345.56
Gujarat,Surat,369840.0,114280.56,4438.08,184550.16,1529998.0,302939.60400000005,7649.99,1435138.124
Gujarat,Tapi,192272.0,69794.73599999999,1922.72,44222.56,26217.0,7812.666,209.73600000000002,20318.175
Daman and Diu,Diu,9788.0,1243.076,29.364,4238.204,9062.0,969.6339999999999,18.124000000000002,6769.314
Daman and Diu,Daman,10006.0,2641.584,90.054,5733.437999999999,61073.0,22658.083000000002,366.43799999999993,53011.363999999994
Dadra and Nagar Haveli,Dadra and Nagar Haveli,48221.0,21940.555,385.76800000000003,12778.565,60562.0,12596.896,121.12400000000001,49236.905999999995
Maharashtra,Nandurbar,333440.0,163052.16,13004.16,74357.12,71572.0,20899.023999999998,2361.8759999999997,45448.22
Maharashtra,Dhule,382777.0,143158.598,13014.418,71579.299,146013.0,33144.951,2336.208,95346.489
Maharashtra,Jalgaon,796223.0,309730.747,43792.265,179946.39800000002,373565.0,101236.115,6350.605,242443.68500000003
Maharashtra,Buldana,575405.0,269864.945,38552.135,167442.855,152787.0,52558.727999999996,5347.545,93047.283
Maharashtra,Akola,308158.0,146375.05,21879.217999999997,95220.82199999999,196077.0,66274.026,7254.849,141763.671
Maharashtra,Washim,274925.0,127290.275,18419.975,75604.375,55921.0,19963.797000000002,1453.9460000000001,37634.833
Maharashtra,Amravati,508921.0,226978.766,33588.78599999999,209166.53100000002,272894.0,85415.82200000001,7913.9259999999995,214494.68399999998
Maharashtra,Wardha,268486.0,117328.38200000001,25506.17,126725.392,120218.0,28852.32,4448.066000000001,94250.91200000001
Maharashtra,Nagpur,430844.0,168029.16,35760.052,198619.08400000003,877522.0,207972.71399999998,24570.615999999995,789769.8
Maharashtra,Bhandara,283843.0,123755.54800000001,22991.283,158384.39399999997,72575.0,18143.75,2467.55,61180.725
Maharashtra,Gondiya,319702.0,128839.906,16624.504,151858.45,66813.0,18039.51,2204.8289999999997,51646.44899999999
Maharashtra,Gadchiroli,293586.0,125067.636,25541.981999999996,65176.092000000004,37254.0,10058.58,1490.16,24550.386000000002
Maharashtra,Chandrapur,451324.0,186396.812,50548.288,131335.284,233331.0,58799.412000000004,7933.254,167298.32700000002
Maharashtra,Yavatmal,629243.0,295114.967,50968.683,137174.97400000002,168889.0,49484.477,6586.670999999999,115182.29800000001
Maharashtra,Nanded,591119.0,302652.928,46107.282,113494.84799999998,230563.0,80697.05,9222.52,168772.116
Maharashtra,Hingoli,242456.0,113226.952,14547.36,65220.664,41913.0,16220.331,1299.303,27536.841
Maharashtra,Parbhani,293480.0,138816.04,24358.84,39032.84,133759.0,47885.721999999994,5885.396000000001,89484.77100000001
Maharashtra,Jalna,404746.0,165945.86,27927.474000000002,118185.832,98084.0,35800.66,3040.6040000000003,68854.968
Maharashtra,Aurangabad,551789.0,219060.233,44143.12,109254.22200000001,427343.0,96579.51800000001,5982.802,373497.782
Maharashtra,Nashik,904661.0,312108.045,50661.015999999996,265065.673,764271.0,185717.853,19106.775,528111.2609999999
Maharashtra,Thane,713994.0,262749.792,41411.651999999995,283455.618,2904157.0,630202.069,31945.727000000003,2163596.965
Maharashtra,Raigarh,581868.0,164668.644,20947.248,296170.812,377160.0,66757.32,4148.76,305499.6
Maharashtra,Pune,1165718.0,278606.602,57120.182,720413.7239999999,2056739.0,429858.45099999994,26737.607000000004,1655674.895
Maharashtra,Ahmadnagar,1041393.0,318666.25800000003,77063.082,407184.66300000006,282011.0,65144.541000000005,7050.275,207560.096
Maharashtra,Bid,563114.0,230876.74,45049.12,86719.556,135457.0,41720.756,3928.2529999999997,93600.787
Maharashtra,Latur,428616.0,171875.016,24431.112,106296.76800000001,157016.0,48046.89600000001,4082.416,122315.464
Maharashtra,Osmanabad,367158.0,140254.35600000003,22763.796000000002,81509.076,77832.0,24594.912,2179.296,44986.89599999999
Maharashtra,Solapur,779929.0,230858.98400000003,60834.462,250357.20900000003,376302.0,115901.016,7149.737999999999,229167.918
Maharashtra,Satara,774522.0,215317.116,41049.666,542939.9219999999,200949.0,41596.443,5425.6230000000005,151515.546
Maharashtra,Ratnagiri,538538.0,154560.406,22080.057999999997,361897.536,100824.0,16736.784,1915.6559999999997,82675.68
Maharashtra,Sindhudurg,295847.0,81653.772,13608.962,220110.168,44989.0,10707.382,1349.67,39050.452
Maharashtra,Kolhapur,796496.0,193548.52800000002,15929.92,592593.0240000001,382818.0,84985.59599999999,4593.816,285965.04600000003
Maharashtra,Sangli,626872.0,171762.928,31970.471999999998,379257.56,226801.0,57380.653,5443.224,175997.57599999997
Telangana,Adilabad,597466.0,213295.36200000002,38835.29,82450.308,220248.0,51758.28,6166.9439999999995,155715.336
Telangana,Nizamabad,565165.0,179722.47,24302.095,166158.51,155133.0,39403.782,3412.9260000000004,132638.715
Telangana,Karimnagar,877236.0,284224.464,44739.03599999999,300014.71200000006,288044.0,60489.24,5184.792,243109.13600000003
Telangana,Medak,593653.0,205403.938,26120.732000000004,188781.654,195479.0,37922.926,2345.748,165375.234
Telangana,Rangareddy,432098.0,110184.99,9506.156,187962.63,1129224.0,182934.288,7904.567999999999,1084055.04
Telangana,Mahbubnagar,848963.0,261480.60400000002,52635.706000000006,151964.37699999998,161052.0,30599.88,2737.8839999999996,125781.612
Telangana,Nalgonda,833504.0,285058.368,49176.736000000004,265887.77599999995,197433.0,47976.219000000005,3356.361,160315.59600000002
Telangana,Warangal,758738.0,294390.344,64492.73,225345.186,288249.0,68315.01299999999,8359.221,237517.176
Telangana,Khammam,669262.0,226879.818,34801.623999999996,250303.988,201363.0,45508.03800000001,4429.986000000001,171964.00200000004
Andhra Pradesh,Srikakulam,752752.0,241633.392,26346.32,96352.256,149684.0,32032.375999999997,2544.6279999999997,98641.75600000001
Andhra Pradesh,Vizianagaram,592458.0,183069.522,19551.113999999998,63393.005999999994,157056.0,31411.2,2984.064,104285.18400000001
