State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Uttar Pradesh,Muzaffarnagar,673746.0,338220.492,30992.315999999995,369886.554,296104.0,118441.6,9475.328000000001,274192.304
Uttar Pradesh,Bijnor,683875.0,359718.25,37613.125,344673.0,224648.0,95924.69600000001,7188.736000000001,207574.75200000004
Uttar Pradesh,Moradabad,692398.0,439672.73,41543.88,330966.244,355518.0,164249.31600000002,11376.576000000001,332764.848
Uttar Pradesh,Rampur,396775.0,257506.97500000003,24600.05,223781.1,143217.0,69460.245,5585.463,135053.631
Uttar Pradesh,Jyotiba Phule Nagar,335888.0,203212.24,19817.392000000003,135362.86399999997,115486.0,58551.402,4619.44,106247.12
Uttar Pradesh,Meerut,381520.0,190378.48,15642.319999999998,202587.12,422303.0,151606.777,8868.363000000001,392319.487
Uttar Pradesh,Baghpat,246055.0,128686.765,7873.76,144680.34,69991.0,32545.815,2169.721,60542.215
Uttar Pradesh,Ghaziabad,355407.0,180191.34900000002,12794.652,212533.38599999997,836316.0,285183.756,15053.688,792827.568
Uttar Pradesh,Gautam Buddha Nagar,170835.0,72263.20499999999,4100.04,88321.695,338935.0,95240.735,4406.155,310125.525
Uttar Pradesh,Bulandshahr,658449.0,370706.78699999995,28313.306999999997,203460.74099999998,221628.0,95964.92399999998,6205.583999999999,188383.8
Uttar Pradesh,Aligarh,582117.0,330060.33900000004,25031.031000000003,124573.03799999999,275942.0,116999.408,7450.434,232895.048
Uttar Pradesh,Mahamaya Nagar,288150.0,158770.65,12102.3,47544.75,84883.0,39385.712,2716.2560000000003,61709.941000000006
Uttar Pradesh,Mathura,407488.0,217191.104,16299.52,79867.648,177802.0,72009.81,4089.446,144375.22400000002
Uttar Pradesh,Agra,496971.0,262897.659,21369.752999999997,82497.186,406852.0,155417.464,7730.187999999999,333618.64
Uttar Pradesh,Firozabad,349747.0,201454.272,23433.049,39871.158,185621.0,96708.541,7424.84,152394.841
Uttar Pradesh,Mainpuri,338475.0,180745.65,25385.625,45694.125,72783.0,30277.728000000003,3202.452,54878.382000000005
Uttar Pradesh,Budaun,710956.0,464965.22400000005,57587.435999999994,149300.76,156668.0,81154.02399999999,9870.084,121417.7
Uttar Pradesh,Bareilly,631613.0,397916.19,48634.20100000001,282962.624,362798.0,169063.86800000002,14511.92,334862.554
Uttar Pradesh,Pilibhit,371752.0,233088.50400000002,34201.184,131971.96,89638.0,40874.928,7529.592000000001,79598.544
Uttar Pradesh,Shahjahanpur,520289.0,319977.735,62434.68,140478.03,134714.0,66952.85800000001,11046.547999999999,115719.32600000002
Uttar Pradesh,Kheri,754938.0,483160.32,83798.118,138153.654,107672.0,49313.776,9582.808,82046.064
Uttar Pradesh,Sitapur,827583.0,512273.877,100137.54299999999,98482.37700000001,111319.0,47199.255999999994,9462.115,80149.68
Uttar Pradesh,Hardoi,786613.0,490059.899,65288.879,136870.66199999998,121064.0,56173.695999999996,7990.223999999999,89587.36
Uttar Pradesh,Unnao,596317.0,351827.03,43531.140999999996,94218.086,121039.0,53499.238000000005,6172.988999999999,86784.963
Uttar Pradesh,Lucknow,344155.0,196856.66,28564.865000000005,73993.325,717566.0,223163.026,29420.205999999995,629305.382
Uttar Pradesh,Rae Bareli,705025.0,390583.85,54991.95,94473.35,73393.0,25027.013000000003,3816.436,52182.422999999995
Uttar Pradesh,Farrukhabad,316647.0,188721.612,27231.641999999996,75678.633,94843.0,43343.251000000004,4457.621,77486.731
Uttar Pradesh,Kannauj,299785.0,174774.655,26381.08,65053.345,65985.0,28571.505,3893.115,49884.66
Uttar Pradesh,Etawah,265643.0,145306.72100000002,20720.154,52597.314000000006,85483.0,34620.615,3590.2860000000005,71292.822
Uttar Pradesh,Auraiya,255836.0,141221.472,23025.24,52190.543999999994,58438.0,22557.068000000003,2337.52,43945.376000000004
Uttar Pradesh,Kanpur Dehat,363933.0,206713.944,30570.372000000003,83704.59,41323.0,16322.585,2438.0570000000002,27397.148999999998
Uttar Pradesh,Kanpur Nagar,364869.0,214542.97199999998,25175.961,86109.084,684906.0,265058.62200000003,32875.488,583539.912
Uttar Pradesh,Jalaun,304856.0,174682.488,8840.824,86274.248,91565.0,37633.215,3204.775,69223.13999999998
Uttar Pradesh,Jhansi,309592.0,146746.60799999998,6191.84,64085.543999999994,195321.0,64260.609,3711.0989999999997,139849.836
Uttar Pradesh,Lalitpur,258013.0,136230.86399999997,6966.351000000001,30961.56,43819.0,15862.478000000001,1139.294,27562.151
Uttar Pradesh,Hamirpur,256081.0,129320.905,3841.215,64020.25,55300.0,20516.3,884.8,37991.1
Uttar Pradesh,Mahoba,198298.0,100537.08600000001,3371.066,35297.044,48525.0,23631.675,776.4,26543.175
Uttar Pradesh,Banda,378056.0,199991.62399999998,4158.616,75611.2,67569.0,23784.288000000004,1148.673,49663.215
Uttar Pradesh,Chitrakoot,207237.0,108799.425,3730.2660000000005,24453.966,23558.0,11001.586000000001,636.066,13828.546
Uttar Pradesh,Fatehpur,558807.0,320755.218,31851.999,102261.681,77733.0,31792.797,3342.519,56045.492999999995
Uttar Pradesh,Pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,41701.0,13219.216999999999,1251.03,26730.340999999997
Uttar Pradesh,Kaushambi,349856.0,193120.512,15393.664,48280.128,30764.0,13197.756,1353.616,15812.695999999998
Uttar Pradesh,Allahabad,983266.0,479833.80799999996,45230.236,153389.49599999998,265304.0,80917.72,7693.816,222855.36
Uttar Pradesh,Bara Banki,635840.0,323642.56,75664.96,83930.88,79068.0,31231.86,6957.984,53608.10399999999
Uttar Pradesh,Faizabad,510378.0,262334.292,47465.154,74004.81,79288.0,28622.968000000004,3885.112,60417.456000000006
Uttar Pradesh,Ambedkar Nagar,501559.0,232723.376,49654.34100000001,69716.701,65031.0,27313.02,6373.0380000000005,35376.864
Uttar Pradesh,Sultanpur,839737.0,418189.02599999995,72217.382,110005.54699999999,49891.0,14817.627,2195.204,36370.539000000004
Uttar Pradesh,Bahraich,698520.0,430986.84,60072.72,73344.6,61742.0,25931.64,3519.2940000000003,49084.89
Uttar Pradesh,Shrawasti,248770.0,139808.74,16916.36,25872.08,8504.0,3189.0,850.4,5357.52
Uttar Pradesh,Balrampur,410070.0,232509.69,27474.69,41827.13999999999,35768.0,14486.04,1466.4879999999998,25717.192000000003
Uttar Pradesh,Gonda,673578.0,344198.35800000007,76114.314,53212.662000000004,52794.0,17158.05,2322.936,40704.174
Uttar Pradesh,Siddharthnagar,480165.0,215113.92,31690.89,49937.16,33348.0,11805.192,1734.096,15640.212
Uttar Pradesh,Basti,513960.0,207125.88,51396.0,67328.76,31065.0,11090.205,2112.42,22397.865
Uttar Pradesh,Sant Kabir Nagar,324972.0,141037.848,33147.144,39971.556000000004,27179.0,10300.841,1739.4560000000001,13507.963
Uttar Pradesh,Mahrajganj,573046.0,294545.644,50428.04800000001,95698.68199999999,34033.0,13374.969,1973.914,19875.272
Uttar Pradesh,Gorakhpur,761958.0,356596.344,67814.262,141724.188,189170.0,59777.72,6999.29,152092.68000000002
Uttar Pradesh,Kushinagar,742324.0,414959.11600000004,63097.54,109863.952,42775.0,16553.925000000003,4020.85,26648.825
Uttar Pradesh,Deoria,597778.0,277966.77,50811.13,99828.92599999999,67928.0,22823.808000000005,4483.248,42387.072
Uttar Pradesh,Azamgarh,891024.0,430364.59199999995,80192.16,149692.032,80434.0,30082.316000000003,3860.8320000000003,51960.363999999994
Uttar Pradesh,Mau,352207.0,166241.704,35572.907,61988.432,99321.0,43800.56100000001,6753.8279999999995,63068.835
Uttar Pradesh,Ballia,564927.0,269470.179,72310.656,125413.79400000001,64454.0,23267.894,5994.222000000001,39316.94
Uttar Pradesh,Jaunpur,926088.0,426926.568,66678.33600000001,142617.55200000003,80582.0,35858.99,3545.6080000000006,57857.876
Uttar Pradesh,Ghazipur,700173.0,358488.576,72817.992,130232.17800000001,61467.0,23603.327999999998,4487.090999999999,40260.885
Uttar Pradesh,Chandauli,344937.0,169019.13,23455.716,64848.156,50822.0,18702.496,2337.812,35168.824
Uttar Pradesh,Varanasi,438935.0,208933.06,29408.645,118951.385,316129.0,113174.18199999999,11064.515,281354.81
